English,Bla'an
abaca,lutay
afternoon,flabi
all,Kdee
ankle ,fninting 
answer ,tnimel(timel)
anus,lufut
areca nut,nama'
ashamed,mya'
ashes,abu
back(of person),kagol
"bad(deleterious,unsuitable)",sase'
banana,saging
bark(of tree),kulit
bathe,dyo
belly,tien
betel leaf,"doon I nama',ike'"
betel and areca nut chew,nama'
big,bong
bird,anuk
to bite ,make't
bitter,fe'e't
black,fitam
blanket,kayab
blind,bute'
blood,lite'
blow(as a fire),myuf
body,lawe
boil(infection),biga'
to boil(intransitive),kaok
bone,tulan
brain,utak
breakfast,famahaw
breast,tutu'
burn(a field),ntam
bury(inter),ibang
butterfly,kalbangi
buttocks,kwang
buy,mayad
call,tlo
"canoe,boat",aweng
canoe paddle,kwa
carabao,kalabaw
charcoal,"uling,using"
cheek,fifi
chest(body),kfe
chicken,anuk
child,tinga'
chin,keke'
choose,nale'k
climb(a tree ),mkef
cloud,labun
coconut(ripe),ifo'
coconut(unripe),beteng
cold(as of water),tno
comb,swat
to cook,mlifo
cooking pot,kulang
companion,derne
cotton(kapok),kafok
cough,mkaw
to count,mse
crocodile,
crow,wak
to cry(weep),mngel
to cut(slice meat),fnale'
day,duh
dead,mati
deaf,bakon
debt,uteng
deep,mnalam
deer,uheh
defecate,milong
delouse ,tandas
difficult,malima
to dig(a hole),nakol
dirty(clothes),magagsik
dog,ayem
dream,Kna
to drink,minum
dry(not wet),kafag
to dry(rice in sun,fanlawi
dull(as a knife),la' gamban
dust,Kfung
ear,klinge
east,gusut I duh
earth,tana'
earthquake,linol
to eat,kmaan
eel,kili
egg,tinga' anuk
eggplant,skatong
eight,walu
elbow,sigu
excrement,te`e`
eye,mata
eyebrow,klube'ng
eyelashes,bul mata
face,bawek
"to fall(drop,not topple)",tatek
far,mawaq
fast(adjective),mlal
fat(adj.),
fat(noun),tabe`
father,ma`
to fear,liko`
feather(tail of rooster),lakay(tail feather)
fence,labat
fight,sfati
finger,tnalo`
fingernail,Knugu
fire,lifo
fish(generic noun),nalaf
five,lime
floor,saal
flower,bulek
fly(insect),langad
to fly,mayeng
forehead,angas
forget,qlifet
four,fat
fragrant,too fye bun
frog(generic),fak
fruit,bunge
full(after eating),bsol
full(container),fno`
ginger,mala
give,ble`
good,fye
green,mlunu
hair,wak
hand(and arm),sigal
hard(substance),mgal
head,ulu
hear,linge
heart,fufung
heavy,blat
heel,takad
hold(small object in hand),nagot
to hide,salbuni
hot(as water),minit
house,bali
how many,file
hundred,mlatu
hunger,bitil
hunt(for game),dmulak
husband,yaan
husk for rice ,ilo
if ,ku
intestines,tnai
itch,katal
to kick,smifa`
kill,fnati
knee,bukal
know(a person),nile`
ladle of coconut shell,tyul
lake,lanaw
laugh,mule`
leaf`,doon
learn,qambet
left(hand),ibeng
leg(and foot),bli`
lice(chicken),
lice(head),kutu
to lie(untruth),tmulen ke`ng
lightning,sila`
lime,aful
lip,sale`k
live(dwell),mne`
liver,atay
loincloth,
lonely,mlidu`
long(object),taha`
lose,lana
lungs,mlaan
man(male),lagi
many,dee
mat ,igem
medicine,bulung
monkey,angok
moon,bulen
morning,"kwal , flafus"
mortar(rice),sung
mosquito,blabang
mother,ya`
mountain ,bulul
mouth,ba`
mud,fitak
name,dagit
narrow,sigfit; sikab
near,
neck,lial
needle,dalum
new,falami
night,butang
nine,siem
nipa,nifa`
none,lande`
noon,bong duh
nose ,ilung
not(as in 'it is not a pig',ise
not(as in 'he is not running',la`
"now, already(completive particular)",ta
old(objects),labi
old(persons),tua
offspring,tinga`
one,satu
other(different),mahal
pain,tduk
palm(of hand),falel
to pay,bnayad
peanuts,mani`
penis,bato`
person,to
pestle(rice),luh
pig,sde`
pillow,danan
to play,magaf(game) swuba(c` others
to plant,fule
to pound rice,mdak
to pull,dyol
to push,sulud
raft,alul
rain,ulen
rainbow,lawe` lawe`
raincloud,labnang
rat,unge`
rattan,luas
red,fule`
repeat,se`nsulit
return(home),mule^
rib,lahok
rice(unhusked),fali
rice(husked),lahok
rice(cooked),knaan
right(hand),kwanan
ring(for finger),tising
river,ye'e'l
roof,ataf
root,dalil
rope,tali
rotten(fruit),balok
to run,mila
rub(massage),"fandi,dmalul"
salt,kahi`
sand,falak
say,man
scar,laas
to scratch,Kmalus
to see,"teen , mite"
sea,mahin
sell,fabli
seven,fitu
sew,tambe'l
shadow,alung
sharp(as a knife),gamban
sheath for bolo,lurna'
shore,kanfe' Iweic
short(person),fukal
short(object),
shoulder,ftubung
sibling snibi,
to sit,sudeng
six,nam
skin(of a person),kindal
skinny,lahan
sky,langit
slave,lifan
to sleep,kudang
small(object),tukay
to smell,mangbun
smoke(from fire) buk,buk
smooth,mlinag
snake,ulad
sole of foot,falel bli`
soup,sabew
sour ,masam
space under house,dungan bali
"span(8"")",dnangu
spider,kalmamo`
to spit,dmula`
squeeze( in hand),kanamu`
to stab,dnunsang
to stand,
star,blatik
to steal,mlad
to stick to ,damkat
stone,batu
story,santulen
straight,tlu
strong,mgal
string,tali
suck(not breast),namul
sugar cane,tbu
summit,di tah bulud
swallow,fanlo
sweat,mtu;(verb) ktu(noun)
sweet,mih
sweet potato,kasila`
swidgeon(kaigin),nligo
swim,mahong
tail,ikong
tear(from crying),Iwak
teeth,kifan
ten,sfalo`
termite,kanok
thick(objects),mangfel
tell,tmulen
thigh ,fuad
thin(objects),mngifi
thirst ,malinum
thorn,sual
thousand,mlibu
three,tlu
throat(esophagus),bkakon
to throw,bat
to throw away,bat
thunder,kilet
tie(tether an animal,nikat
today,duh ani
toe, tnalo` bli'
tomorrow,faya
tongue,dila`
trail,dalan
tree,kayo
trousers,salwal
"turn(revolve,intransitive)",fatbiling
turtle ,fnu
twenty,Iwe falo`
two,iwe
under,dungan
urine,kle`
vagina,soli but
vein(blood),ulat
vomit,muta`
to wait,fatan
to walk,magu
wall(of house),diding
to wash hands ,nalob
to wash clothes,mfok
water,ye'e'l
waterfall,fikong
water container(bamboo),tungen
water jar,tibud
weak,lande` qal
weave cloth,"nabal, nanem"
weave a mat,nanem
west,qustaf I duh
wet,fafe^
what,tan
what-you-may-call-it,bye
when,
where,ne`
who,sinto
white,bukay
wide,mabal
widow,balu
wife,yaan
wind,nus
wine(rice),
wing,fafak
winnow,tmaaf
wipe,tnisong
woman(female),libun
wood,kayo
wood(forest),qlaq
"word, language",tnalu`
to work,mimo`
worm(earth),Iyaku`
year,fali
yellow,mlale`l
yesterday,malfabi
